title,price,rating,colors,size,gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-19 15:29:12.937825
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-19 15:29:12.937948
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-19 15:29:12.938063
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-19 15:29:12.938165
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-19 15:29:12.938256
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-19 15:29:12.938340
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-19 15:29:12.938419
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-19 15:29:12.938510
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-19 15:29:12.938593
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-19 15:29:12.938817
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-19 15:29:12.938929
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-19 15:29:12.939047
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-19 15:29:12.939146
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-19 15:29:12.939327
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-19 15:29:12.939422
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-19 15:29:12.939505
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-19 15:29:12.939591
Pants 22,4319680.0,4.9,3,M,Men,2025-05-19 15:29:14.062820
Outerwear 23,4655840.0,3.7,3,L,Women,2025-05-19 15:29:14.062911
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-05-19 15:29:14.062993
Crewneck 25,8322559.0,3.3,3,XXL,Men,2025-05-19 15:29:14.063076
T-shirt 26,7292320.0,4.6,3,S,Women,2025-05-19 15:29:14.063184
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-05-19 15:29:14.063278
Pants 28,5216160.0,4.0,3,L,Men,2025-05-19 15:29:14.063361
Outerwear 29,861600.0,3.1,3,XL,Women,2025-05-19 15:29:14.063442
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-05-19 15:29:14.063571
T-shirt 32,6657920.0,3.4,3,M,Women,2025-05-19 15:29:14.063818
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-05-19 15:29:14.063953
Pants 34,8362719.0,3.8,3,XL,Men,2025-05-19 15:29:14.064080
Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-05-19 15:29:14.064283
Jacket 36,7249280.0,3.7,3,S,Unisex,2025-05-19 15:29:14.064420
Crewneck 37,6006080.0,4.0,3,M,Men,2025-05-19 15:29:14.064611
T-shirt 38,4866080.0,3.2,3,L,Women,2025-05-19 15:29:14.064786
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2025-05-19 15:29:14.064941
Pants 40,5853600.0,3.1,3,XXL,Men,2025-05-19 15:29:14.065090
Jacket 42,6744160.0,3.7,3,M,Unisex,2025-05-19 15:29:15.186545
Crewneck 43,2909600.0,4.5,3,L,Men,2025-05-19 15:29:15.186688
T-shirt 44,3312320.0,3.0,3,XL,Women,2025-05-19 15:29:15.186798
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2025-05-19 15:29:15.186905
Outerwear 47,6364640.0,3.2,3,M,Women,2025-05-19 15:29:15.187137
Jacket 48,4994720.0,3.4,3,L,Unisex,2025-05-19 15:29:15.187250
Crewneck 49,1071200.0,4.0,3,XL,Men,2025-05-19 15:29:15.187355
T-shirt 50,5932960.0,3.1,3,XXL,Women,2025-05-19 15:29:15.187462
Pants 52,1596480.0,4.0,3,M,Men,2025-05-19 15:29:15.187736
Outerwear 53,4470880.0,4.3,3,L,Women,2025-05-19 15:29:15.187843
Jacket 54,854560.0,4.2,3,XL,Unisex,2025-05-19 15:29:15.187950
Crewneck 55,1793760.0,3.6,3,XXL,Men,2025-05-19 15:29:15.188053
T-shirt 56,4643040.0,3.8,3,S,Women,2025-05-19 15:29:15.188162
Hoodie 57,3155360.0,4.9,3,M,Unisex,2025-05-19 15:29:15.188269
Pants 58,1637760.0,4.4,3,L,Men,2025-05-19 15:29:15.188376
Outerwear 59,2254240.0,4.6,3,XL,Women,2025-05-19 15:29:15.188477
Jacket 60,3375520.0,4.2,3,XXL,Unisex,2025-05-19 15:29:15.188579
T-shirt 62,1376480.0,3.8,3,M,Women,2025-05-19 15:29:16.302513
Hoodie 63,6479200.0,3.6,3,L,Unisex,2025-05-19 15:29:16.302626
Pants 64,7728480.0,4.0,3,XL,Men,2025-05-19 15:29:16.302734
Outerwear 65,2385920.0,4.1,3,XXL,Women,2025-05-19 15:29:16.302844
Jacket 66,4353120.0,3.5,3,S,Unisex,2025-05-19 15:29:16.302953
Crewneck 67,8470720.0,3.5,3,M,Men,2025-05-19 15:29:16.303059
T-shirt 68,8025280.0,4.0,3,L,Women,2025-05-19 15:29:16.303168
Hoodie 69,1027839.0,3.6,3,XL,Unisex,2025-05-19 15:29:16.303290
Pants 70,1171360.0,4.4,3,XXL,Men,2025-05-19 15:29:16.303405
Jacket 72,3776000.0,4.4,3,M,Unisex,2025-05-19 15:29:16.303630
Crewneck 73,2460320.0,3.0,3,L,Men,2025-05-19 15:29:16.303739
T-shirt 74,7704800.0,3.8,3,XL,Women,2025-05-19 15:29:16.303847
Hoodie 75,2101760.0,4.3,3,XXL,Unisex,2025-05-19 15:29:16.303964
Outerwear 77,861760.0,3.7,3,M,Women,2025-05-19 15:29:16.304210
Jacket 78,2716480.0,4.3,3,L,Unisex,2025-05-19 15:29:16.304327
Crewneck 79,3309600.0,4.6,3,XL,Men,2025-05-19 15:29:16.304480
T-shirt 80,4178399.0,4.5,3,XXL,Women,2025-05-19 15:29:16.304607
Pants 82,8315520.0,4.8,3,M,Men,2025-05-19 15:29:17.422839
Outerwear 83,3947840.0,3.7,3,L,Women,2025-05-19 15:29:17.422941
Jacket 84,2826080.0,4.8,3,XL,Unisex,2025-05-19 15:29:17.423046
Crewneck 85,4564160.0,3.5,3,XXL,Men,2025-05-19 15:29:17.423149
T-shirt 86,1670880.0,3.9,3,S,Women,2025-05-19 15:29:17.423243
